aita,cs,attention,gender_studies
0.1184858,0.13915034,0.29783753,0.113044724
-0.1802469,-0.14300697,-0.17760691,-0.21815482
0.08177687,0.04563856,0.035093084,0.06296744
-0.16714793,-0.17293012,-0.19068426,-0.052776888
0.033999547,-0.17648147,-0.16847312,-0.12608446
0.112166286,-0.0096978685,0.052611478,0.06510883
-0.14843772,-0.20577352,-0.26516205,-0.23653443
0.04927894,0.05955833,0.055070486,-0.08727567
-0.16006047,0.072485,-0.008418513,-0.03346531
-0.1067949,0.0016220426,0.076926015,-0.0806626
0.019747261,0.07078458,0.020905104,-0.043712694
-0.045125853,-0.0855747,-0.062666595,-0.12602946
-0.079314254,0.04333166,0.016501112,-0.07663403
0.09627375,-0.0051528937,-0.030790098,-0.0939637
0.07581356,-0.083624706,-0.011157096,0.005760889
-0.04982426,-0.091006935,0.07583676,0.015484991
-0.073252015,-0.009546432,-0.14707498,-0.002697042
0.059422538,-0.17576632,0.03579164,0.00035689303
0.04704567,0.12361093,0.022270741,0.024767619
-0.058444746,0.026320312,0.044555806,0.10060517
-0.2853782,-0.1247641,-0.057305496,-0.21327633
0.124892496,0.064982764,0.000988006,-0.045735773
0.046616115,0.122698806,-0.0943623,0.04726608
-0.040727552,-0.06663349,-0.08020338,-0.09255423
0.0889184,-0.0051579634,0.08021273,-0.007926481
-0.066176094,-0.06659155,-0.021034366,0.00556959
-0.28816557,-0.09547784,-0.009102289,-0.15878229
0.04815795,-0.14206395,-0.021620937,0.002667406
0.13544504,0.14567329,0.059693325,0.16966617
0.053784765,0.05728729,0.0017685201,0.054949682
0.17974469,0.09734523,0.031126024,-0.02395642
0.059095737,0.090667084,0.14928603,0.03296112
0.005919306,0.100738876,0.09770354,0.03939398
0.033214927,0.034403272,0.022644434,0.10728161
0.24930477,0.014731856,0.033571377,0.1675828
-0.18212718,-0.062301036,-0.013175353,-0.09684206
-0.04005959,9.486421e-05,-0.018723248,-0.25109228
-0.050579585,0.12783095,-0.036946367,0.1295132
-0.10840497,-0.15395783,-0.15520501,-0.0887808
0.1204752,0.02177855,-0.24807839,0.06115406
0.0022039958,0.1972282,0.01110767,0.004193677
-0.028467845,0.14830735,-0.0029648927,0.11631284
-0.1959132,0.11216136,0.2900559,0.0876242
-0.06692729,0.086849146,0.06122175,0.0584377
0.24322845,0.07201651,-0.06644792,0.1475786
-0.03438701,-0.09780241,-0.0324159,-0.18429922
-0.02341339,0.19256967,0.30984822,0.11107886
0.01650222,-0.012730358,-0.17468691,-0.054736316
0.09040477,0.049888767,0.0055833245,0.041403256
0.041487526,0.06918804,0.08584017,0.04437796
0.212007,-0.04551255,-0.12526143,0.08291818
-0.1115166,-0.039930362,-0.025061063,-0.037659883
0.09516676,0.1377811,-0.096335284,0.06076452
-0.06950969,0.060811866,0.039493002,0.010633946
-0.14176908,-0.17055897,-0.054412298,-0.10613697
-0.08483192,-0.090845086,0.1689265,0.031210698
4.2508583e-07,-0.07096387,0.0472969,-0.037195124
0.006169912,0.04985479,-0.14594714,0.058930214
0.15097785,0.07887676,0.03954232,0.09466413
-0.011850103,0.030106446,-0.08928688,-0.008125231
-0.10769735,-0.027487058,-0.04104136,0.07393582
0.17301624,-0.05961473,-0.089520685,0.03284177
0.018815102,-0.00109193,0.14770249,0.048074476
-0.04689268,0.006710637,-0.015391367,0.01952504
-0.0032482788,-0.0072563477,0.0576717,-0.039974306
0.044221293,0.13260725,0.2277125,0.14262499
-0.09039222,-0.15218578,-0.0017761048,-0.07617086
-0.11356218,0.051348746,0.08691014,-0.030705323
0.0016847071,-0.08219016,-0.07747559,0.004536969
-0.051788963,-0.08862974,-0.0064445166,0.051252287
